,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
47,0.013774545,74.8922871,0.264725597,47.46802034,0.127033434,1941567.605,1.880667783,0.754349231,0.078866667,7.862190685,0.675487136,0.97601718,1
48,0.010676986,96.8884871,0.351691738,35.7301541,0.189131224,1619579.214,1.830859502,0.70217949,0.1142875,5.280375172,0.835999327,0.964394809,1
49,0.014572068,58.32641589,0.237466571,52.916922,0.099041099,2097260.664,1.715038004,0.786954876,0.0885625,10.08533777,0.610262426,0.977442783,1
50,0.013011559,69.37914545,0.254925711,49.29279175,0.106854495,2391616.751,1.77188512,0.741827522,0.0902125,9.348178084,0.725699648,0.972888574,1
51,1.093714286,24993.79282,15615.17106,0.00080473,1,291349,1.914,0.712444938,0.1013125,0.5,0.79994608,0.968891173,1
52,0.010706107,98.15323251,0.33727931,37.25695472,0.182016686,1790253.45,1.840676389,0.686227223,0.081145833,5.487140546,0.841229359,0.970080276,1
53,1.093714286,29064.10192,18158.14537,0.000692031,1,338796,1.914,0.675234751,0.128947917,0.5,0.880685312,0.959878894,1
54,0.010662878,86.55026433,0.342379008,36.70201653,0.171899006,1689608.375,1.712820712,0.716001189,0.101991667,5.810216371,0.753244827,0.967390543,1
55,0.009936451,93.61600697,0.319089432,39.38080913,0.163075667,2156925.101,1.766051983,0.663028348,0.124564583,6.12535411,0.93181637,0.959777928,1
56,1.093714286,19077.61693,11918.96941,0.001054286,1,222385,1.914,0.772542503,0.093658333,0.5,0.652268084,0.974963381,1
57,0.012069802,79.92497945,0.295193693,42.56866018,0.132325094,2085190.283,1.774767438,0.731183455,0.10783125,7.548282985,0.696242299,0.972760004,1
58,0.015017385,65.09027492,0.246773297,50.92123079,0.09555653,2422869.473,1.776740169,0.766581475,0.107441667,10.4531441,0.664470073,0.972433794,1
59,1.402424242,18396.23086,8993.077024,0.001397297,0.3,1277370,1.78,0.636822077,0.128154167,2.666666667,1.00512008,0.961596767,1
60,0.009769419,99.46731156,0.363851921,34.53602767,0.149725299,2461955.351,1.719277693,0.652423403,0.137577083,6.671497688,0.930174743,0.962794647,1
61,0.010738142,95.07674901,0.330047009,38.0733643,0.149292231,2244711.586,1.810388544,0.678119734,0.121641667,6.69046878,0.878944397,0.963817571,1
